text,actual_sentiment,predicted_sentiment,confidence,correct_prediction,prob_negative,prob_neutral/mixed,prob_positive,is_mixed
they are so tight i feel like my head is going to pop br i know what you re thinking but i swear i have a normal sized head br fortunately i only use them to hold my hair back when washing my face and putting on makeup br on the upside there is enough headbands in the package i may never need to purchase another as long as i live,neutral/mixed,neutral/mixed,0.9885142485286782,True,0.004959204252872983,0.9885142485286782,0.006526547218448634,False
i don't like the smell this product definitely takes pain away temporarily,neutral/mixed,neutral/mixed,0.9600275592088029,True,0.029976188329006278,0.9600275592088029,0.009996252462190942,False
drinks are always quick and on point not to mention aaron made our morning last week with his singing through the drive up speaker glad to have a solid starbucks close by,positive,positive,0.7722448910719727,True,0.08646456305857525,0.14129054586945214,0.7722448910719727,False
coffee is ok staff is great but it is consistently cold in here turn the heat on please,negative,neutral/mixed,0.5297710101898303,False,0.20169174268556728,0.5297710101898303,0.26853724712460236,False
i am an avid starbucks drinker not a day goes by that i do not drink starbucks at least twice the east norriton location is the closest to my house but i go out of my way to go to the plymouth meeting location because the east norriton location is constantly disappointing yet again today my husband comes home with our coffee and it is wrong the flavor is missing as are my additions that i ordered every day on my app this is not only the least friendly starbucks i have ever been to but i have never seen a manager even present out in the front and when your coffee is wrong you always get the eye roll it is poorly managed and the staff never stay in plymouth meeting i know the manager by first name and see her almost everyday because she is out supporting her team coffee cannot cost this much and continually be wrong at the east norriton location it really needs an overhaul,negative,negative,0.8163518424209926,True,0.8163518424209926,0.04313388295020935,0.1405142746287981,False
only me second time in this location we had to wait a little bit before somebody asked for our order but it was a little busy so it was understandable the two grande mochas were made to perfection as was the strawberry refresher,positive,positive,0.4710985921786917,True,0.3274376606314009,0.20146374718990734,0.4710985921786917,False
does not stay,neutral/mixed,neutral/mixed,0.9507079995634753,True,0.03277950035113011,0.9507079995634753,0.016512500085394666,False
i used to think all starbucks were the same but boy was i wrong i have come to this one several times before but mostly just through the drive through nothing to brag about but i did get what i ordered until last time i did my order on my phone and already pre paid so all i had to do was run in and grab it off counter i was in hurry and on my way to the other side of town i never order whip cream on my fraps so i didn t notice their was no carmel on my blended frap as i m driving down the freeway i took my first sip and did not taste any caramel so i looked at my cup and did not see the usual caramel stickiness on the bottom or sides so i called the guy to let them know my caramel macchiato did not have any caramel in it he told me to take the rest of my coffee to another starbucks and they will fix it for me like i had time to go to another starbucks with my half drank frap to ask someone to make it right i was shocked at such bad service from a dollar drink that they messed up i have never been back to this location since and no i did not take my half drank frap to another starbucks either,negative,negative,0.9078759336387547,True,0.9078759336387547,0.03874139293031251,0.053382673430932726,False
these don't do the trick 1 2 uses okay but i have since purchased the gloves that work much better,neutral/mixed,neutral/mixed,0.8685199230894493,True,0.09549331278608665,0.8685199230894493,0.03598676412446402,False
this location is usually pretty quick and accurate the staff is friendly and there is lots of seating indoor and out it s also close to my office making it extremely convenient when i m in need of caffeine,positive,positive,0.7972452609754604,True,0.020772085574743533,0.18198265344979594,0.7972452609754604,False
