text,actual_sentiment,predicted_sentiment,confidence,correct_prediction,prob_negative,prob_neutral/mixed,prob_positive,is_mixed
it s as good as any starbucks mediocre at best,neutral/mixed,positive,0.4726193428040092,False,0.14713973250059476,0.38024092469539605,0.4726193428040092,False
i ve been to probably over different starbucks this particular starbucks is the most friendly and consistent i ve been to the other day they gave me my order for free for a christmas present that s great customer service it s located in the hyatt so it s quite busy during conventions but the speed of service is great they always have enough staff and they are all friendly,positive,positive,0.9740945239732924,True,0.004729817535557214,0.021175658491150277,0.9740945239732924,False
i really like this starbucks everyone is generally very friendly and the drinks are always good my only real qualm is drive through speed can be a little slow all in all it s still my favorite sbux in the area,positive,positive,0.568375288589151,True,0.026015253956913703,0.4056094574539353,0.568375288589151,False
these are really cute but they hurt behind my ears a little,neutral/mixed,neutral/mixed,0.9205928089730115,True,0.02082055304410097,0.9205928089730115,0.05858663798288764,False
i love this location it s bigger than their old location down the street the staff is very nice and respectful they are fairly fast at making your drink depending upon how crowed it is i ll definitely be coming back,positive,positive,0.8822782342803701,True,0.024396441390125104,0.09332532432950472,0.8822782342803701,False
i m used to quality service came back from europe where baristas are awesome i drive about minutes to get to this starbucks and their service is getting worse every time i come here two days in a row i asked for a brownie and chocolate chip cookie at pm and they are out of it those are two main things a coffee shop should have coffee was good tho so i will be taking my business else where can t go to red lion and blvd or the one inside target which is the worst of them all probably try abington area next time,neutral/mixed,negative,0.7833044849766075,False,0.7833044849766075,0.07558578576595013,0.14110972925744225,False
this place rocks great friendly staff who are efficient and fluent in coffee drinks a,positive,positive,0.9414204229156243,True,0.014143060451201206,0.04443651663317441,0.9414204229156243,False
the clip part that holds your hair in place on the wand is way too tight very hard for me to open it wide enough and it pulls and tugs my hair badly as i try to slide it down the strands i have to continually open it a bit then release close open release down the length of the strand instead of sliding it i've never had to return an item from amazon but i am considering it with this one however i'm thinking maybe the clamp part will loosen up eventually so may not return because other than that flaw it's fine,neutral/mixed,neutral/mixed,0.9053928667543903,True,0.0753200212542802,0.9053928667543903,0.01928711199132944,False
love the crew at this location the only thing that makes me not go as often is the long drive thru line that s out into the street on some mornings,positive,positive,0.8197653626369349,True,0.08329498740775773,0.0969396499553074,0.8197653626369349,False
terrible starbucks mainly because the workers have no common sense instead of handing the drink to the person from the window they put it on the counter next to the register doesn t need to be that difficult or take that long timed my drive through experience minutes insane,negative,negative,0.9184303147490662,True,0.9184303147490662,0.06675328395003095,0.014816401300902823,False
i will literally drive way out of my way for this starbucks most starbucks i go to are very inconsistent and the frappuccinos are very thin melted etc this place is always on point i have never had a bad drink come out of that building i always order to go because this is on my route to work and it is always ready for me the staff is always super friendly and kind i absolutely love love love this starbucks the staff and drinks are high quality it s always clean love it i go to every starbucks in the area and honestly none of them hold a candle to this one starbucks please recognize these employees for the great employees and humans that they are,positive,positive,0.9832493510566448,True,0.009149130043255318,0.007601518900099952,0.9832493510566448,False
some of the employees are nice some are in too much of a hurry to get back to whatever else they re doing drinks have been messed up have had drinks shoved out the drive thru window with a quick have a good day and the door closed on my face before i could even ask for a straw all in all not impressed i ve come back to lower my rating this location is awful all of my drinks taste terrible like they let the espresso go bad before it makes it into my drink burnt flavor the staff is really lackluster i ve spoken with mike rose district manager twice and no results have come from the discussions he and i have had oh yeah i ll talk to my crew and make sure they make sure to give you a straw i ll talk to them about not speaking to the customers in a rude tone of voice well the lady with the blonde hair and glasses still snips as customers i ve decided to go out of my way and walk into the warminster starbucks fabulous workers and the drinks are always on point,negative,negative,0.850149692165385,True,0.850149692165385,0.02594031860884372,0.12390998922577115,False
i m not amused the people behind me are getting there orders first how hard is it to get a vanilla sweet cream cold brew and a cookie at least employees and they are all clueless,negative,negative,0.6763270256566202,True,0.6763270256566202,0.16022380994208338,0.1634491644012965,False
the brown color was really on the red side and the tip is too thick and flimsy so it really doesn't give that microblade effect,neutral/mixed,neutral/mixed,0.9518967735956249,True,0.023621541620527986,0.9518967735956249,0.024481684783846998,False
